,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
0,10875.0,5.0,2.0,65.0,7872.5,0.2838427947598253
1,10875.0,95.0,2.0,64.46,2742.0,0.025308205732234
2,10875.0,22.0,2.0,172.24,772.5,0.3712068965517242
0,30650.0,101.0,4.0,31.24,699.75,0.42794520547945203
1,30650.0,5.0,1.0,58.02,2604.0,0.022281105990783413
2,5.0,22.0,1.0,121.22,3.0,40.406666666666666
3,22.0,30650.0,1.0,165.99,32953.0,0.005037174157132887
0,84.0,8668.0,4.0,62.43,126.0,1.6872972972972973
1,8668.0,22.0,8.0,112.93,273.25,1.3285882352941176
2,8668.0,88.0,1.0,97.37,7.0,13.91
3,88.0,84.0,1.0,126.06,176.0,0.71625
0,19892.0,99.0,6.0,37.46,96.33333333333333,2.6757142857142857
1,19892.0,120.0,4.0,30.42,150.5,1.4485714285714286
2,19892.0,88.0,28.0,110.87,71.64285714285714,18.478333333333335
0,80412.0,92.0,7.0,149.66,79.71428571428571,74.83
1,80412.0,5.0,6.0,80.82,35.5,161.64
2,80412.0,49.0,1.0,74.61,2.0,37.305
3,49.0,92.0,1.0,211.31,1.0,211.31
4,80412.0,84.0,2.0,115.66,5.0,115.66
5,80412.0,22.0,2.0,193.41,5824.0,64.47
0,19167.0,88.0,10.0,81.11,324.1,2.6164516129032256
1,19167.0,13.0,2.0,94.17,1.5,94.17
2,19167.0,5.0,9.0,86.97,3.5555555555555554,173.94
3,5.0,49.0,3.0,73.03,0.0,146.06
4,49.0,19167.0,4.0,133.81,5.75,267.62
5,5.0,22.0,2.0,121.22,4.0,30.305
6,22.0,19167.0,3.0,149.46,10.666666666666666,24.91
7,22.0,33.0,1.0,24.53,3.0,8.176666666666668
8,33.0,19167.0,1.0,157.38,3.0,52.46
9,49.0,22.0,1.0,190.46,4.0,47.615
10,22.0,32.0,3.0,88.88,14.0,8.08
11,32.0,19167.0,1.0,123.85,59143.0,0.002094077067446697
0,77739.0,13.0,1.0,59.23,6.0,9.871666666666666
1,13.0,5.0,1.0,114.24,4.0,28.56
2,5.0,77739.0,1.0,74.41,23906.0,0.0031126077135447167
0,71813.0,88.0,6.0,85.82,8.0,42.91
0,78541.0,99.0,13.0,108.9,47.92307692307692,217.8
1,78541.0,84187.0,21.0,106.28,42.666666666666664,212.56
2,84187.0,99.0,1.0,117.88,0.0,235.76
3,78541.0,13.0,2.0,81.94,6.5,81.94
4,78541.0,84.0,3.0,65.41,13.666666666666666,65.41
5,78541.0,22.0,6.0,171.95,5.0,171.95
6,22.0,120.0,2.0,86.98,2.0,43.49
7,120.0,84.0,1.0,95.0,5.0,19.0
8,120.0,32.0,1.0,54.21,2.0,27.105
9,32.0,78541.0,5.0,92.73,11366.4,18.546
0,33.0,99.0,5.0,55.62,706.0,6.18
1,99.0,22.0,12.0,64.39,830.0833333333334,9.198571428571428
2,99.0,120.0,5.0,40.56,1580.2,0.2101554404145078
3,22.0,120.0,6.0,86.98,686.8333333333334,86.98
4,120.0,5.0,1.0,44.14,16417.0,0.0026886763720533596
5,5.0,22.0,2.0,121.22,11698.0,0.025301607180129408
0,49955.0,99.0,10.0,45.96,14.6,45.96
1,49955.0,120.0,2.0,43.05,6.5,7.175
0,56792.0,13.0,4.0,176.89,20.75,176.89
1,56792.0,120.0,9.0,42.69,4.555555555555555,85.38
2,56792.0,32.0,6.0,39.99,3.5,39.99
3,56792.0,88.0,1.0,154.67,2.0,77.335
4,88.0,120.0,1.0,115.57,2.0,57.785
0,71813.0,92.0,3.0,176.73,120.0,176.73
1,71813.0,88.0,4.0,85.82,22.75,28.606666666666666
0,95.0,5.0,1.0,39.38,1838.0,0.02142546245919478
1,5.0,88.0,1.0,91.38,4.0,22.845
2,88.0,95.0,6.0,53.3,7401.333333333333,8.883333333333333
3,95.0,49.0,2.0,55.08,1621.0,0.061336302895322936
0,53703.0,34660.0,26.0,165.08,52.65384615384615,165.08
1,34660.0,96.0,2.0,156.31,2.0,156.31
