wifi_a,wifi_b,count,distance,meanTime,maxSpeed
5.0,32.0,1.0,48.84,11.0,4.44
32.0,84.0,1.0,57.42,5.0,11.484
67861.0,27281.0,1.0,43.68,182.0,0.24
27281.0,82416.0,1.0,42.54,430.0,0.09893023255813953
82416.0,67861.0,2.0,5.83,45.5,0.1494871794871795
82416.0,18911.0,3.0,20.62,75.66666666666667,0.7930769230769231
18911.0,120.0,2.0,62.07,114.5,0.5694495412844037
18911.0,99.0,2.0,30.46,10718.5,60.92
95.0,13966.0,1.0,27.07,1301.0,0.02080707148347425
13966.0,27922.0,2.0,96.9,30195.5,0.02918674698795181
32.0,71877.0,1.0,50.14,860.0,0.05830232558139535
71877.0,67927.0,3.0,13.45,90.66666666666667,0.4203125
67927.0,33.0,2.0,114.03,28.0,19.005
67927.0,58801.0,1.0,30.48,45584.0,0.0006686556686556687
58801.0,32.0,2.0,80.41,7269.0,6.185384615384615
95.0,5315.0,2.0,20.55,839.0,41.1
5315.0,72494.0,1.0,68.25,16837.0,0.004053572489160777
72494.0,98032.0,1.0,39.0,5.0,7.8
98032.0,27467.0,5.0,33.62,16.4,8.405
27467.0,41028.0,1.0,34.71,2219.0,0.015642181162685894
41028.0,65154.0,2.0,42.54,7.5,85.08
41028.0,51310.0,1.0,10.05,6.0,1.675
51310.0,32.0,4.0,57.85,2.25,115.7
