wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
79100,279.0,220.0,9048:84,2_virtual,279.811783,220.553072,53107:87465:94312:65700:,1
57243,355.0,133.0,92:39006,2_virtual,380.579236,129.452811,45161:,1
13852,340.0,169.0,90040:39006,2_virtual,347.193365,169.198675,77113:42474:94506:,1
53303,242.0,213.0,64120:84,2_virtual,248.309855,201.032938,82886:36186:,1
10003,270.0,224.0,64120:49,2_virtual,270.507656,222.10376,54486:28757:52403:,1
52980,293.0,221.0,30620:84,2_virtual,294.565218,214.523345,49113:90024:57836:53973:36075:73487:5031:47977:32840:91357:87786:,1
92886,314.0,246.0,49:45983,2_virtual,319.322227,252.825245,N,1
19448,290.0,223.0,67331:45983,2_virtual,285.440157,216.278109,68610:88422:82191:77402:99909:10647:42193:,1
60368,262.0,195.0,79123:67331,2_virtual,259.505678,196.964106,61153:1650:14181:92704:39976:67539:,1
66880,227.0,170.0,33:67331,2_virtual,225.653122,168.927674,78842:61021:,1
49081,239.0,131.0,54272:120,2_virtual,240.44936,129.275759,2516:98786:33299:98786:,1
85873,320.0,242.0,4313:63790,2_virtual,326.68936,238.011887,47028:42280:30311:93057:,1
24143,375.0,175.0,90040:13,2_virtual,374.094277,172.594103,73032:90872:82073:90872:,1
72897,364.0,173.0,90040:88,2_virtual,370.982585,179.261752,49389:59823:91314:46555:,1
78345,372.0,189.0,39820:13,2_virtual,367.109121,189.263226,63796:65564:25854:52169:21220:11409:27939:32211:,1
65673,335.0,172.0,90040:39820:50132,2_virtual,344.59524,175.541663,9334:41776:19399:61295:19589:33509:58797:,1
29032,225.0,163.0,33:45395,2_virtual,223.092671,167.893645,57650:,1
60163,199.0,149.0,105:45395,2_virtual,200.588866,148.173807,26101:58899:,1
32638,215.0,161.0,105:59163,2_virtual,215.656135,159.449639,N,1
3527,206.0,157.0,71721:105,2_virtual,206.842275,155.116568,26790:25598:,1
95138,271.0,214.0,59163:71721:45395,2_virtual,271.998577,212.799359,72648:41185:29289:,1
83111,252.0,215.0,45395:9356,2_virtual,257.143707,211.297404,26238:11136:,1
85647,263.0,227.0,60800:51552,2_virtual,267.250157,233.22491,N,1
2505,282.0,216.0,51552:5,2_virtual,283.720998,215.043212,92862:74952:7829:27850:80253:,1
53940,276.0,166.0,120:5:72974,2_virtual,284.986256,152.807715,40510:64349:68855:36820:73958:34641:82483:83836:64288:25724:63561:25593:95012:13200:2643:53059:4818:88911:12912:8806:,1
58365,275.0,204.0,2344:51552,2_virtual,271.616588,208.929101,97544:55381:3871:56494:77466:50858:3871:4494:84002:33874:,1
80824,221.0,120.0,54272:29230,2_virtual,221.105013,119.973451,79157:70717:38585:44392:70692:87808:80984:,1
39313,269.0,260.0,101:92071,2_virtual,275.06577,264.682845,N,1
82985,216.0,148.0,33:51286,2_virtual,210.732191,148.124568,33448:87115:44817:76106:68721:85272:,1
5135,184.0,111.0,105:25121,2_virtual,185.207478,118.609685,99416:97288:47000:1214:72187:93197:66339:92302:56216:54334:95386:20394:60594:64401:7817:93563:29667:45013:76511:55986:33009:86682:,1
93162,200.0,125.0,70233:105,2_virtual,197.61645,127.353831,54300:24761:75450:19131:39719:17640:71120:14929:6191:50302:79937:66617:87285:24050:6587:20467:87285:84518:65315:87055:21652:,1
35647,272.0,199.0,2344:82676,2_virtual,265.933747,202.618602,39047:78281:,1
